"ema","institucion","nombre_ema","comuna","region","latitud","longitud","fecha_de_alta"
373,"INIA","Rinconada-U de Chile","Maipú","Metropolitana",-33.497093,-70.845436,2016-08-02 16:47:51
376,"INIA","Rucatayo","Río Bueno","Los Ríos",-40.598896,-72.586541,2016-08-02 16:54:00
391,"INIA","Ticnamar","Arica","Arica y Parinacota",-18.58007,-69.495965,2017-05-05 09:54:20
428,"FDF","Los Quilantos","Freire","Araucanía",-38.9083333,-72.7982222,2017-08-04 15:22:35
433,"FDF","Vida Nueva","Villarrica","Araucanía",-39.1963889,-72.2613611,2017-08-04 15:24:08
438,"FDF","Peldehue","Colina","Metropolitana",-33.1471111,-70.6602222,2017-08-08 09:22:10
471,"INIA","5 de enero","San Gregorio","Magallanes",-52.432478,-70.360583,2017-08-31 16:03:22
483,"INIA","Puente Negro","Pichilemu","O'Higgins",-34.386351,-71.98571,2017-08-31 16:11:56
491,"INIA","San Jorge Los Niches","Curicó","Maule",-35.0918,-71.120579,2017-08-31 16:18:48
499,"INIA","Colliguay","Quilpué","Valparaíso",-33.1686089,-71.1557171,2017-08-31 16:24:53
527,"INIA","Carelmapu","Maullín","Los Lagos",-41.709733,-73.6722625,2017-08-31 16:41:13
539,"INIA","San Enrique","Pucón","Araucanía",-39.261711,-71.868097,2017-08-31 16:52:35
551,"INIA","Pica","Pica","Tarapacá",-20.501476,-69.342572,2017-08-31 16:56:54
582,"INIA","La Copa","Caldera","Atacama",-27.345439,-70.622009,2017-09-26 20:00:35
587,"METEOVID","Siegel","San Fernando","O'Higgins",-34.52545,-70.88758,2017-09-26 20:12:07
592,"METEOVID","Via Wines","Curicó","Maule",-35.0904667,-71.177367,2017-09-26 20:14:40
597,"METEOVID","Laberinto","Colbún","Maule",-35.6993,-71.2687,2017-09-26 20:15:34
619,"INIA","La Cachina","Taltal","Antofagasta",-25.433987,-70.453243,2017-11-07 13:30:57
625,"METEOVID","Concha y Toro - Pencahue","Pencahue","Maule",-35.44522,-71.83436,2018-01-29 16:57:25
632,"INIA","Chaguaral","Monte Patria","Coquimbo",-30.857084,-70.730689,2018-03-07 12:07:55
642,"INIA","San Sebastián","Perquenco","Araucanía",-38.435064,-72.399024,2018-03-07 12:19:23
646,"INIA","El Vergel","Angol","Araucanía",-37.8278098,-72.6596649,2018-03-07 12:23:10
650,"METEOVID","Viu Manent – Santa Cruz","Santa Cruz","O'Higgins",-34.646111111,-71.313611111,2019-07-17 09:40:23
679,"INIA","Tenaún","Dalcahue","Los Lagos",-42.312675,-73.399902,2020-03-30 15:35:31
682,"INIA","Ñirehuao","Coyhaique","Aysén",-45.249744,-71.69425,2020-03-30 15:36:37
